Wall time,Step,Value
1590425553.0678723,50,4.243271827697754
1590425573.8900127,180,4.218686103820801
1590425583.5106046,240,4.26617956161499
1590425609.570641,396,4.014640808105469
1590425612.8541012,416,4.079198360443115
1590425617.7651937,446,4.13529634475708
1590425630.8486683,526,4.178481578826904
1590425635.766482,556,4.144301414489746
1590425660.3702338,706,4.057049751281738
1590425665.2395337,736,4.109546184539795
1590425698.03695,932,4.214748382568359
1590425711.0967877,1012,4.164326190948486
1590425717.642856,1052,3.9702937602996826
1590425750.565967,1248,4.200411319732666
1590425771.6601396,1378,4.2509355545043945
1590425797.7048206,1538,4.134881019592285
1590425802.847669,1564,3.996032476425171
1590425817.5051165,1654,4.006383419036865
1590425835.4076009,1764,4.2357940673828125
1590425843.589202,1814,3.911567211151123
1590425846.8703556,1834,3.876542568206787
1590425848.510537,1844,4.02225923538208
1590425855.0245056,1884,4.1088948249816895
1590425883.0220883,2050,4.0652313232421875
1590425909.099364,2210,3.728602170944214
1590425918.9158535,2270,4.096678733825684
1590425927.3254664,2316,3.9474050998687744
1590425951.9790068,2466,4.073732852935791
1590425961.813428,2526,4.025892734527588
1590425970.0891116,2576,3.750692367553711
1590425981.6363237,2646,4.168236255645752
1590425988.196141,2686,3.886465549468994
1590425991.7061608,2702,3.9035751819610596
1590426022.8667855,2892,3.825918674468994
1590426049.1987748,3052,3.9153380393981934
1590426052.4761145,3072,3.8637218475341797
1590426065.9208086,3148,3.9606683254241943
1590426085.730699,3268,3.830409526824951
1590426100.636826,3358,3.3393499851226807
1590426113.7483218,3438,3.8687071800231934
1590426140.343249,3594,3.9588756561279297
1590426146.9019585,3634,3.9620838165283203
1590426235.9851897,4170,3.6858327388763428
1590426237.6465485,4180,3.7192752361297607
1590426265.8351073,4346,3.817002296447754
1590426269.1025465,4366,3.8929214477539062
1590426270.7403128,4376,3.6172163486480713
1590426275.6714876,4406,3.9048614501953125
1590426300.346255,4556,3.664700746536255
1590426305.2792726,4586,3.907102584838867
1590426306.9087775,4596,3.7845029830932617
1590426323.53795,4692,3.8154137134552
1590426351.4250274,4862,3.9985203742980957
1590426354.7446313,4882,3.685410976409912
1590426389.5405767,5088,3.8609344959259033
1590426394.4526658,5118,3.771785020828247
1590426407.5783386,5198,3.7449679374694824
1590426417.4854443,5258,3.8950109481811523
1590426420.8122385,5278,3.4967994689941406
1590426425.7193308,5308,3.470315456390381
1590426435.5706122,5368,3.7310984134674072
1590426444.0372322,5414,3.6557765007019043
1590426460.4724808,5514,3.6318960189819336
1590426470.3911037,5574,3.7893662452697754
1590426486.8852782,5674,2.9288170337677
1590426496.791446,5734,3.8989641666412354
1590426500.062961,5754,3.657527208328247
1590426508.4924202,5800,3.6334261894226074
1590426510.1271627,5810,3.7976176738739014
1590426534.7762043,5960,3.743518590927124
1590426564.394652,6140,3.6229450702667236
1590426567.6809409,6160,3.6675872802734375
1590426587.7297165,6276,3.7069814205169678
1590426599.2061365,6346,3.717642068862915
1590426600.8464267,6356,3.6993162631988525
1590426604.2487185,6376,3.356684923171997
1590426609.2192657,6406,3.8891661167144775
1590426612.546572,6426,3.5557804107666016
1590426632.2869434,6546,3.647207498550415
1590426648.9741938,6642,3.6852855682373047
1590426653.8922567,6672,3.5065743923187256
1590426668.6815295,6762,3.3596253395080566
1590426676.909611,6812,3.50563383102417
1590426719.7548215,7068,3.6973748207092285
1590426726.3094547,7108,3.761087417602539
1590426732.8974943,7148,3.310171365737915
1590426734.5168946,7158,3.5831916332244873
1590426746.09432,7228,2.965451717376709
1590426760.807452,7318,3.5895471572875977
1590426767.70276,7354,3.7083683013916016
1590426774.295476,7394,3.5508501529693604
1590426782.4496052,7444,3.436363697052002
1590426788.9835184,7484,3.588226079940796
1590426804.0853302,7574,3.6798996925354004
1590426810.693237,7614,2.922654867172241
1590426812.326094,7624,3.302154302597046
1590426813.9737835,7634,3.61140775680542
1590426817.2504804,7654,3.3623151779174805
1590426828.9365227,7720,3.471163511276245
1590426837.1813378,7770,3.5579357147216797
1590426840.4619217,7790,3.613614082336426
1590426848.6628158,7840,3.6410903930664062
1590426851.953722,7860,3.581418991088867
1590426858.4800613,7900,3.613069772720337
1590426865.037499,7940,3.689765214920044
1590426874.9307282,8000,2.8971590995788574
1590426876.56359,8010,3.2717528343200684
1590426914.4619112,8236,3.389843225479126
1590426921.0202866,8276,3.5735158920288086
1590426975.5999951,8602,3.318836212158203
1590426983.760318,8652,3.680560350418091
1590426987.1554034,8672,3.557370901107788
1590426996.9834206,8732,3.568986415863037
1590427010.1882784,8812,3.275559186935425
1590427019.9977262,8872,3.528562545776367
1590427026.817581,8908,3.311915159225464
1590427038.3311126,8978,3.497519016265869
1590427041.6087465,8998,3.566837787628174
1590427051.470684,9058,3.537505626678467
1590427054.823302,9078,3.2003700733184814
1590427078.2521427,9218,3.4512341022491455
1590427079.8894002,9228,3.186147689819336
1590427096.5668457,9324,3.4017107486724854
1590427101.4818077,9354,3.4624900817871094
1590427116.2014506,9444,3.5100579261779785
1590427122.7539837,9484,3.536527395248413
1590427129.360517,9524,3.102490186691284
1590427144.0441658,9614,3.151878595352173
1590427145.678752,9624,3.3912954330444336
1590427155.8237622,9680,3.256154775619507
1590427157.4660308,9690,3.3588027954101562
1590427165.6360683,9740,3.431100606918335
1590427185.2766683,9860,3.312065362930298
1590427195.0535553,9920,2.5609395503997803
1590427199.9791448,9950,3.4098012447357178
1590427221.0403821,10036,3.3122146129608154
1590427226.6420166,10066,3.223032236099243
1590427239.7182758,10146,3.1966700553894043
1590427270.704414,10336,3.393669605255127
1590427292.3241374,10462,3.3071420192718506
